"id","text","category","source","split"
"1","काठमाण्डौ वडा नं ५ मा हिजोदेखि धारामा पानी आएको छैन।","water","manual","train"
"2","ललितपुर वडा ३ मा पानी आउने समय अनियमित छ, तालिका मिल्दैन।","water","manual","train"
"3","हाम्रो टोलमा एक हप्तादेखि खानेपानी आएको छैन, दैनिक जीवन कष्टकर भएको छ।","water","manual","train"
"4","पोखरा लेकसाइड क्षेत्रमा धाराबाट फोहोर पानी आउँछ, पिउन मिल्दैन।","water","manual","train"
"5","वीरगन्ज वडा ७ मा पानीको प्रेसर निकै कम छ, ट्यांकी भर्न घण्टौं लाग्छ।","water","manual","train"
"6","बिराटनगरमा मुख्य पाइपलाइन फुटेको छ, सडकमा पानी बगिरहेको छ।","water","manual","train"
"7","जनकपुरमा राति मात्र पानी आउँछ, बिहान भान्सा गर्न पानी हुँदैन।","water","manual","train"
"8","काठमाण्डौ बसुन्धरामा धारा सुक्खा छ, एक थोपा पनि आउँदैन।","water","manual","train"
"9","हाम्रो घरको धारामा हरियो रङको पानी आउँछ, स्वास्थ्यमा असर पर्ने डर लाग्छ।","water","manual","val"
"10","नयाँबानेश्वरमा ट्यांकर आउने भनेको दुई दिन भयो अहिलेसम्म आएको छैन।","water","manual","train"
"11","बुटवल वडा २ मा पानी तोकिएको समयमा आउँदैन, जनताले कुर्नुपरेको छ।","water","manual","train"
"12","हेटौंडामा पाइपबाट पानी चुहिरहेको छ, पटकपटक जानकारी दिँदा पनि मर्मत भएको छैन।","water","manual","val"
"13","ग्वार्कोमा माथिल्लो तल्लामा पानी चढ्दैन, मोटर राख्दा पनि प्रेसर पुग्दैन।","water","manual","train"
"14","नेपालगञ्जमा गर्मीको बेलामा पानीको चरम अभाव छ, बच्चालाई नुहाउन पनि पानी छैन।","water","manual","train"
"15","धनगढीमा पानीमा माटो मिसिएको आउँछ, छान्दा पनि सफा हुँदैन।","water","manual","train"
"16","कुपन्डोलमा पाइप पुरानो भइसकेको छ, जोड्ने ठाउँबाट पानी बगेको छ।","water","manual","test"
"17","ठमेलमा पानी दुर्गन्धित आउँछ, कपडा धोए पनि गन्हाउँछ।","water","manual","test"
"18","एकान्तकुनामा नयाँ धारा जडान माग्दा महिनौँ भयो कुनै जवाफ आएको छैन।","water","manual","train"
"19","सल्लाघारीमा पानी आउँदा कीरा मिसिएको देखिन्छ, पिउन त के भाँडा माझ्न पनि डर लाग्छ।","water","manual","val"
"20","बानेश्वरमा हप्तामा एकपटक मात्र पानी दिइन्छ, बाँकी दिन कसरी गुजारा गर्ने?","water","manual","train"
"21","बत्ती जाने बेलामा मोटर नचलेर पानी तान्नै सकिँदैन, दोहोरो समस्या।","water","manual","train"
"22","धारामा पानी आउने समय राति ३ बजे हो, को उठेर भर्छ त्यो बेला?","water","manual","train"
"23","गर्भवती श्रीमती घरमा हुनुहुन्छ तर पानी नआउँदा सरसफाइ गर्न सकिँदैन।","water","manual","val"
"24","छिमेकीको धारामा पानी आउँछ हाम्रोमा आउँदैन, लाइनमा भेदभाव जस्तो लाग्छ।","water","manual","train"
"25","बिजुली गएपछि मोटर नचल्दा ट्यांकी खाली हुन्छ, पानी बोकेर ल्याउनुपर्छ।","water","manual","train"
"26","ट्यांकरको भाडा निकै महँगो छ, गरिब परिवारले कसरी तिर्ने?","water","manual","train"
"27","पानी आउँदा प्रेसर यति कम हुन्छ कि तेस्रो तल्लामा थोपा पनि चढ्दैन।","water","manual","test"
"28","फोहोर पानी पिएर बच्चालाई झाडापखाला भएको छ, कसले जिम्मा लिन्छ?","water","manual","train"
"29","पानीको बिल नियमित तिर्दा पनि सेवा भने अनियमित छ, यो कस्तो न्याय?","water","manual","val"
"30","पानी नआउँदा शौचालय प्रयोग गर्न अप्ठ्यारो छ, स्वच्छता कसरी कायम गर्ने?","water","manual","train"
"31","इनार सुकिसकेको छ, धारामा पानी छैन, ट्यांकर आउँदैन, के गर्ने?","water","manual","train"
"32","पानी उमाल्दा पनि गन्हाउँछ, यसमा के मिसिएको छ थाहा पाइएको छैन।","water","manual","train"
"33","ट्यांकी सफा गर्न भनेको महिनौँ भयो कर्मचारी आएको छैन।","water","manual","train"
"34","मनसुन पछि पाइप फाटेर सडकमा पानी बग्छ, पैदल चल्नै गाह्रो।","water","manual","val"
"35","अस्पतालको वार्डमा धारा सुक्खा छ, हात धुने पानी पनि छैन।","water","manual","train"
"36","नयाँ बसेरामा धारा जडानका लागि पटकपटक निवेदन दिए पनि कोही आएको छैन।","water","manual","train"
"37","सप्ताहदिनदेखि खानेपानी नआएर सबै परिवार बाटोबाट पानी बोकेर गुजारा गरिरहेका छन्।","water","manual","train"
"38","धाराबाट आउने पानीमा सेतो फोका देखिन्छ, गुणस्तरप्रति गम्भीर शंका छ।","water","manual","train"
"39","ट्यांकी सफा गर्न पटकपटक अनुरोध गर्दा पनि कर्मचारी नआएर पानीमा दुर्गन्ध आएको छ।","water","manual","val"
"40","टोलका केही घरले मोटर प्रयोग गर्दा माथिल्लो तल्लामा पानी चढ्दैन।","water","manual","train"
"41","बिहान विद्यालय जाने बच्चालाई धारामा लाइन बस्दा समयमै कक्षा पुग्न गाह्रो भएको छ।","water","manual","train"
"42","नालाबाट फोहोर मिसिएको हरियो पानी आएपछि बोतल पानीमा निर्भर हुनुपरेको छ।","water","manual","test"
"43","मनसुन सुरु भएयता पाइप फाटेर सडकभरि पानी बग्दा पैदल चल्नै गाह्रो भएको छ।","water","manual","train"
"44","महिनौँ अग्रिम शुल्क तिरे पनि ट्यांकर तोकिएको समयभन्दा ढिलो आइपुग्छ।","water","manual","train"
"45","अस्पतालको वार्डमा हात धुने धारा सुक्खा हुँदा सरसफाइ मापदण्ड पालना हुँदैन।","water","manual","train"
"46","नयाँ बसेरामा धारा जडानका लागि निवेदन दिए पनि अहिलेसम्म निरीक्षक आएको छैन।","water","manual","train"
"47","पानी आएन","water","manual","train"
"48","धाराबाट आज पनि खाना भएन","water","manual","train"
"49","पानी कहिले आउँछ थाहा भएन","water","manual","train"
"50","ट्यांकी फेरि खाली भयो","water","manual","train"
"51","नल घुमाउँदा पनि थोप्पा आएन","water","manual","val"
"52","धारा सुक्खा, भाँडा थुप्रिएको","water","manual","train"
"53","पिउने पानी फोहोरै आउँछ","water","manual","train"
