"id","text","category","source","split"
"1","काठमाण्डौ वडा नं ५ मा सडकमा ठूला खाल्डा परेका छन्, हिँड्न गाह्रो छ।","road","manual","train"
"2","ललितपुर वडा ३ मा पानी पर्दा सडक पूरै हिलो हुन्छ।","road","manual","train"
"3","हाम्रो टोलको सडक वर्षौँदेखि मर्मत भएको छैन, गाडी चलाउन सकिँदैन।","road","manual","train"
"4","पोखरा लेकसाइडमा सडकको कालोपत्रे उप्किएको छ, दुर्घटनाको जोखिम बढेको छ।","road","manual","train"
"5","वीरगन्ज वडा ७ मा सडकमा गहिरा खाडल छन्, मोटरसाइकल चलाउन डर लाग्छ।","road","manual","train"
"6","बिराटनगरमा पुरानो पुल भत्किने अवस्थामा छ, तुरुन्त मर्मत गर्नुपर्छ।","road","manual","train"
"7","जनकपुरमा कच्ची सडक वर्षातमा दलदल हुन्छ, पैदल चल्नै सकिँदैन।","road","manual","train"
"8","बसुन्धरामा नाली नखन्दा पानी सडकमा भरिन्छ, हिँड्न अप्ठ्यारो हुन्छ।","road","manual","train"
"9","ग्वार्कोमा फुटपाथ भत्किएको छ, पैदल यात्रुले सडकमै हिँड्नुपर्छ।","road","manual","val"
"10","नयाँबानेश्वरमा ठेकेदारले सडक बनाउने काम अधुरो छोडेको छ।","road","manual","train"
"11","बुटवल वडा २ मा ग्राभेल सडकको धुलो असह्य छ, सास फेर्न गाह्रो।","road","manual","train"
"12","हेटौंडामा भूस्खलनले बाटो बन्द भएको छ, गाउँ जोड्ने एकमात्र सडक हो।","road","manual","val"
"13","नेपालगञ्जमा सडकमा खाल्डा भित्र पानी भरिएर दुर्घटना हुने गरेको छ।","road","manual","train"
"14","धनगढीमा खोलामा पुल नै छैन, बाढीमा मान्छे अड्किन्छन्।","road","manual","train"
"15","कुपन्डोलमा सडक टुक्रा टुक्रा भएको छ, सवारी चलाउन अत्यन्त गाह्रो।","road","manual","train"
"16","ठमेलमा फुटपाथमा पसल राखिएको छ, पैदल यात्रुका लागि ठाउँ छैन।","road","manual","test"
"17","एकान्तकुनामा सडक मर्मतको लागि बजेट विनियोजन भए पनि काम भएको छैन।","road","manual","test"
"18","सल्लाघारीमा एम्बुलेन्स चालकले सडकको कारण जान नमानेको अवस्था छ।","road","manual","train"
"19","बानेश्वरमा निर्माण सामग्रीले बाटो छोपेको छ, सवारी र पैदल दुवैलाई गाह्रो।","road","manual","val"
"20","हिलामा पुरिने सडकमा बच्चा स्कुल जान डराउँछन्।","road","manual","train"
"21","सडकमा रुख ढलेको छ, बाटो अवरुद्ध भएको छ।","road","manual","train"
"22","गएको वर्ष बनाइएको सडक एकै वर्षमा भत्कियो, ठेकेदारलाई कारबाही गर्नुस्।","road","manual","train"
"23","पहिरो गएर बाटो बन्द छ, गाउँका बिरामीलाई अस्पताल पुर्‍याउन सकिँदैन।","road","manual","val"
"24","ग्राभेल मात्रै छरेर काम सकियो भनेको छ, अलि वर्षा हुँदा सवारी फस्छ।","road","manual","train"
"25","सडक बन्ने नाममा बाटो खनेर महिनौँ छोडिएको छ, धुलो र हिलो मात्र छ।","road","manual","train"
