"id","text","category","source","split"
"1","काठमाण्डौ वडा नं ५ मा हप्तौँदेखि फोहोर उठाइएको छैन।","garbage","manual","train"
"2","ललितपुर वडा ३ मा सडकमा फोहोर थुपारिएकोले दुर्गन्ध फैलिएको छ।","garbage","manual","train"
"3","हाम्रो टोलमा डस्टबिन भरिएर बगेको छ, कसैले ध्यान दिएको छैन।","garbage","manual","train"
"4","पोखरा लेकसाइड नजिक फोहोरका कारण मक्खी र लामखुट्टे बढेका छन्।","garbage","manual","train"
"5","वीरगन्ज वडा ७ मा फोहोरले नाली बन्द भएको छ, पानी सडकमा बग्छ।","garbage","manual","train"
"6","बिराटनगरमा नगरपालिकाको फोहोर उठाउने गाडी दुई हप्तादेखि आएको छैन।","garbage","manual","train"
"7","जनकपुरमा सडकको बीचमै फोहोरको थुप्रो छ, हिँड्न अप्ठ्यारो हुन्छ।","garbage","manual","train"
"8","बसुन्धरामा फोहोर जलाउँदा धुवाँ फैलिन्छ, सास फेर्न गाह्रो।","garbage","manual","train"
"9","ग्वार्कोमा कुकुरले फोहोर छर्‍याउने गर्छ, टोल फोहोरमय हुन्छ।","garbage","manual","val"
"10","नयाँबानेश्वरमा विद्यालय नजिक फोहोर थुपारिएको छ, बच्चालाई बिरामी पार्ने अवस्था।","garbage","manual","train"
"11","बुटवल वडा २ मा फोहोर उठाउने गाडी समयमा आउँदैन, तालिका पालना हुँदैन।","garbage","manual","train"
"12","हेटौंडामा अस्पताल अगाडि कचरा जम्मा भएको छ, सार्वजनिक स्वास्थ्य खतरामा।","garbage","manual","val"
"13","नेपालगञ्जमा मन्दिर वरिपरि फोहोर छ, धार्मिक स्थलको अपमान भएको छ।","garbage","manual","train"
"14","धनगढीमा बसपार्कमा फोहोरमय छ, यात्रुलाई बस्न अप्ठ्यारो।","garbage","manual","train"
"15","कुपन्डोलमा फोहोर वर्गीकरण गरे पनि गाडीले सबै मिसाउँछ।","garbage","manual","train"
"16","ठमेलमा होटलहरूले राति सडककिनारमा फोहोर फाल्छन्, बिहान हिँड्न गाह्रो।","garbage","manual","test"
"17","एकान्तकुनामा पार्कमा कचरा थुपारिएको छ, बच्चाले खेल्न सक्दैनन्।","garbage","manual","test"
"18","सल्लाघारीमा ढलमा फोहोर थुनिएकोले पानी सडकमा बगेर घरभित्र पस्छ।","garbage","manual","train"
"19","बानेश्वरमा फुटपाथमा फोहोर जम्मा भएको छ, पैदल चल्नै गाह्रो।","garbage","manual","val"
"20","सार्वजनिक शौचालय वरिपरि सरसफाइ नहुँदा दुर्गन्धले व्यवसाय चलाउन अप्ठ्यारो।","garbage","manual","train"
"21","फोहोर उठ्न छाडेको धेरै भयो, टोलभरि गन्ध फैलिएको छ।","garbage","manual","train"
"22","गाईले फोहोर फिँजाउँदा सडक फोहोरमय हुन्छ।","garbage","manual","train"
"23","मुसाले फोहोर कोट्याएर घरभित्रै ल्याउँछ, स्वास्थ्य जोखिम बढेको छ।","garbage","manual","val"
"24","फोहोर सङ्कलन गर्ने गाडी आउँदैन, थुप्रो बढ्दैछ।","garbage","manual","train"
"25","फोहोरको कारण नाली बन्द भएर घरमा पानी पसेको छ।","garbage","manual","train"
"26","बच्चाले फोहोरमा खेल्ने गरेका छन्, बिरामी हुने डर छ।","garbage","manual","train"
"27","फोहोर टिप्ने कर्मचारीले मास्क र पञ्जा नलगाउँदा उनीहरू नै जोखिममा छन्।","garbage","manual","test"
"28","चोकमा फोहोरको डंगुर छ, मान्छे नाक थुनेर हिँड्छन्।","garbage","manual","train"
"29","फोहोर जलाउँदा सास फेर्न गाह्रो हुन्छ, प्रदूषण बढेको छ।","garbage","manual","val"
"30","नगरपालिकाको गाडी हप्ताको एक पटक मात्र आउँछ, बाँकी दिन फोहोर सड्छ।","garbage","manual","train"
"31","कुहिएको फोहोरको गन्ध असह्य छ, बालबालिकालाई बिरामी पारेको छ।","garbage","manual","train"
"32","स्वेत कुकुरको बथानले फोहोर छरिदिन्छ, सफा गर्दागर्दै फेरि त्यस्तै हुन्छ।","garbage","manual","train"
"33","अवैधिक डम्पिङ साइट बनेपछि धुवाँ र गन्धले सास फेर्न गाह्रो छ।","garbage","manual","train"
"34","धाराको छेउमा फालेको फोहोर वर्षातमा बगेर नाली थुन्छ।","garbage","manual","val"
"35","पाल्तु जनावरले च्यातेको प्लास्टिकले पार्क खेल्नै नसक्ने अवस्थामा छ।","garbage","manual","train"
