text,label
light going on and off,electricity
frequent power cut,electricity
voltage very low,electricity
appliances damaged,electricity
street light not working,electricity
power cut whole evening,electricity
open wire hanging,electricity
transformer making noise,electricity
bill too high,electricity
meter not working,electricity
voltage fluctuation,electricity
frequent load shedding,electricity
no electricity at night,electricity
repair team not coming,electricity
street light broken,electricity
no water due to powercut,electricity
dehydration due to powercut,electricity
"Residents report street lights not working in their area, affecting daily life and safety.",electricity
"Residents report voltage fluctuation damaging appliances in their area, affecting daily life and safety.",electricity
"Residents report frequent power cuts in their area, affecting daily life and safety.",electricity
"Residents report transformer overheating in their area, affecting daily life and safety.",electricity
"Residents report exposed electric wires in their area, affecting daily life and safety.",electricity
"Residents report frequent power cuts in their area, affecting daily life and safety.",electricity
"Residents report meter malfunction causing billing confusion in their area, affecting daily life and safety.",electricity
"Residents report voltage fluctuation damaging appliances in their area, affecting daily life and safety.",electricity
"Residents report meter malfunction causing billing confusion in their area, affecting daily life and safety.",electricity
"Residents report transformer overheating in their area, affecting daily life and safety.",electricity
"Residents report meter malfunction causing billing confusion in their area, affecting daily life and safety.",electricity
"Residents report voltage fluctuation damaging appliances in their area, affecting daily life and safety.",electricity
"Residents report frequent power cuts in their area, affecting daily life and safety.",electricity
"Residents report delayed repair response in their area, affecting daily life and safety.",electricity
"Residents report exposed electric wires in their area, affecting daily life and safety.",electricity
"Residents report meter malfunction causing billing confusion in their area, affecting daily life and safety.",electricity
"Residents report voltage fluctuation damaging appliances in their area, affecting daily life and safety.",electricity
"Residents report street lights not working in their area, affecting daily life and safety.",electricity
"Residents report delayed repair response in their area, affecting daily life and safety.",electricity
"Residents report transformer overheating in their area, affecting daily life and safety.",electricity
"Residents report voltage fluctuation damaging appliances in their area, affecting daily life and safety.",electricity
"Residents report unstable electricity supply in their area, affecting daily life and safety.",electricity
"Residents report unstable electricity supply in their area, affecting daily life and safety.",electricity
"Residents report frequent power cuts in their area, affecting daily life and safety.",electricity
"Residents report meter malfunction causing billing confusion in their area, affecting daily life and safety.",electricity
"Residents report exposed electric wires in their area, affecting daily life and safety.",electricity
"Residents report transformer overheating in their area, affecting daily life and safety.",electricity
"Residents report voltage fluctuation damaging appliances in their area, affecting daily life and safety.",electricity
"Residents report meter malfunction causing billing confusion in their area, affecting daily life and safety.",electricity
"Residents report exposed electric wires in their area, affecting daily life and safety.",electricity
"Residents report meter malfunction causing billing confusion in their area, affecting daily life and safety.",electricity
"Residents report unstable electricity supply in their area, affecting daily life and safety.",electricity
"Residents report delayed repair response in their area, affecting daily life and safety.",electricity
"Residents report frequent power cuts in their area, affecting daily life and safety.",electricity
"Residents report meter malfunction causing billing confusion in their area, affecting daily life and safety.",electricity
"Residents report delayed repair response in their area, affecting daily life and safety.",electricity
"Residents report meter malfunction causing billing confusion in their area, affecting daily life and safety.",electricity
"Residents report street lights not working in their area, affecting daily life and safety.",electricity
"Residents report street lights not working in their area, affecting daily life and safety.",electricity
"Residents report delayed repair response in their area, affecting daily life and safety.",electricity
"Residents report exposed electric wires in their area, affecting daily life and safety.",electricity
"Residents report meter malfunction causing billing confusion in their area, affecting daily life and safety.",electricity
"Residents report exposed electric wires in their area, affecting daily life and safety.",electricity
"Residents report transformer overheating in their area, affecting daily life and safety.",electricity
"Residents report unstable electricity supply in their area, affecting daily life and safety.",electricity
"Residents report street lights not working in their area, affecting daily life and safety.",electricity
"Residents report delayed repair response in their area, affecting daily life and safety.",electricity
"Residents report street lights not working in their area, affecting daily life and safety.",electricity
"Residents report exposed electric wires in their area, affecting daily life and safety.",electricity
"Residents report street lights not working in their area, affecting daily life and safety.",electricity
"Residents report meter malfunction causing billing confusion in their area, affecting daily life and safety.",electricity
"Residents report transformer overheating in their area, affecting daily life and safety.",electricity
"Residents report voltage fluctuation damaging appliances in their area, affecting daily life and safety.",electricity
"Residents report street lights not working in their area, affecting daily life and safety.",electricity
"Residents report frequent power cuts in their area, affecting daily life and safety.",electricity
"Residents report transformer overheating in their area, affecting daily life and safety.",electricity
"Residents report delayed repair response in their area, affecting daily life and safety.",electricity
"Residents report transformer overheating in their area, affecting daily life and safety.",electricity
"Residents report meter malfunction causing billing confusion in their area, affecting daily life and safety.",electricity
"Residents report transformer overheating in their area, affecting daily life and safety.",electricity
"Residents report exposed electric wires in their area, affecting daily life and safety.",electricity
"Residents report transformer overheating in their area, affecting daily life and safety.",electricity
"Residents report voltage fluctuation damaging appliances in their area, affecting daily life and safety.",electricity
"Residents report exposed electric wires in their area, affecting daily life and safety.",electricity
"Residents report frequent power cuts in their area, affecting daily life and safety.",electricity
"Residents report meter malfunction causing billing confusion in their area, affecting daily life and safety.",electricity
"Residents report exposed electric wires in their area, affecting daily life and safety.",electricity
"Residents report transformer overheating in their area, affecting daily life and safety.",electricity
"Residents report exposed electric wires in their area, affecting daily life and safety.",electricity
"Residents report voltage fluctuation damaging appliances in their area, affecting daily life and safety.",electricity
"Residents report frequent power cuts in their area, affecting daily life and safety.",electricity
"Residents report frequent power cuts in their area, affecting daily life and safety.",electricity
"Residents report delayed repair response in their area, affecting daily life and safety.",electricity
"Residents report delayed repair response in their area, affecting daily life and safety.",electricity
"Residents report frequent power cuts in their area, affecting daily life and safety.",electricity
"Residents report exposed electric wires in their area, affecting daily life and safety.",electricity
"Residents report unstable electricity supply in their area, affecting daily life and safety.",electricity
"Residents report meter malfunction causing billing confusion in their area, affecting daily life and safety.",electricity
"Residents report meter malfunction causing billing confusion in their area, affecting daily life and safety.",electricity
"Residents report transformer overheating in their area, affecting daily life and safety.",electricity
"Residents report voltage fluctuation damaging appliances in their area, affecting daily life and safety.",electricity
"Residents report frequent power cuts in their area, affecting daily life and safety.",electricity
"Residents report street lights not working in their area, affecting daily life and safety.",electricity
"Residents report transformer overheating in their area, affecting daily life and safety.",electricity
"Residents report exposed electric wires in their area, affecting daily life and safety.",electricity
"Residents report delayed repair response in their area, affecting daily life and safety.",electricity
"Residents report transformer overheating in their area, affecting daily life and safety.",electricity
"Residents report voltage fluctuation damaging appliances in their area, affecting daily life and safety.",electricity
