"id","text","category","source","split"
"1","काठमाण्डौ वडा नं ५ मा हिजोदेखि बत्ती नआएको छ।","electricity","manual","train"
"2","ललितपुर वडा ३ मा राति बारम्बार बत्ती अफ अन हुन्छ।","electricity","manual","train"
"3","हाम्रो टोलमा तीन दिनदेखी बत्ति आएको छैन पढाइमा धेरै असर पर्‍यो।","electricity","manual","train"
"4","पोखराको लेकसाइड नजिक स्ट्रीट लाइट काम नगरेको धेरै दिन भयो।","electricity","manual","train"
"5","वीरगन्ज वडा नं ७ मा भोल्टेज धेरै कम छ फ्रिज बिग्रिने डर लाग्यो।","electricity","manual","train"
"6","बिराटनगरमा मीटर राम्रोसँग नघुमेको जस्तो छ तर बिल असाध्यै धेरै आएको छ।","electricity","manual","train"
"7","जनकपुरमा साँझको समयमा मात्र बत्ती जान्छ भनी भनिए पनि दिनभरै काटिन्छ।","electricity","manual","train"
"8","काठमाण्डौ बसुन्धराबाट ट्रान्सफर्मरको ठूलो आवाज आएको छ डर लागेर राति सुत्न गाह्रो हुन्छ।","electricity","manual","train"
"9","हाम्रो घर अगाडीको पोलको तार झुण्डिएको छ बच्चालाई ठोक्किने खतरा छ।","electricity","manual","train"
"10","काठमाडौं नयाँबानेश्वर क्षेत्रमा बिल अनपेक्षित रूपमा दोब्बर आएको छ कारण थाहा पाइएको छैन।","electricity","manual","train"
"11","बुटवल वडा २ मा लोडसेडिङ जस्तो गरेर दिनको धेरै घण्टा बत्ती काटिन्छ।","electricity","manual","train"
"12","हेटौंडामा विद्युत् मर्मत गर्ने टोलीलाई पटकपटक जानकारी दिँदा पनि अहिलेसम्म आएका छैनन्।","electricity","manual","val"
"13","ललितपुर ग्वार्को क्षेत्रमा राति १० बजेपछि सडक बत्ती नबलेकोले हिड्न डर लाग्छ।","electricity","manual","val"
"14","नेपालगञ्जमा मिटर पढ्न मान्छे कहिले पनि समयमा आउँदैन अनुमानबाटै बिल काटिन्छ।","electricity","manual","train"
"15","धनगढीमा बिजुली तार छेउमै रूख छोइएको छ हावाहुरीमा ठूलो जोखिम देखियो।","electricity","manual","train"
"16","कुपन्डोल क्षेत्रमा बत्ती आएको नआएको निश्चित छैन उपकरण जलेर नोक्सान भएको छ।","electricity","manual","test"
"17","ठमेलमा दिनहुँ भोल्टेज फ्लक्चुएसन हुन्छ लाइट बल्ब पटक पटक फाटिरहेको छ।","electricity","manual","test"
"18","काठमाडौँको एकान्तकुनामा नयाँ जडानको लागि फारम दिएको महिनौ भयो अझै मिटर जडान भएको छैन।","electricity","manual","train"
"19","भक्तपुरको सल्लाघारीमा ट्रान्सफर्मर पोलबाट चिंगारी निस्किएको देखिन्छ तुरुन्त परिवर्तन गर्नुपर्छ।","electricity","manual","val"
"20","बानेश्वर क्षेत्रमा बत्ती जानु अघि कुनै एसएमएस वा सूचना नआउँदा काम मिलाउनु गाह्रो हुन्छ।","electricity","manual","train"
"21","बत्ती जाने बेलामा सधैं इन्टरनेट काटिन्छ, अफिसको अनलाइन मिटिङ बारम्बार बिग्रिन्छ।","electricity","manual","train"
"22","बिना जानकारी रातभर बत्ती काट्दा फ्रिजको सामान बिग्रन्छ, कसले जिम्मा लिन्छ भन्नुस्।","electricity","manual","train"
"23","दिनभरै काम गर्ने मान्छे हुँ, राति मात्रै फुर्सद हुन्छ तर त्यही बेला बत्ति जान्छ।","electricity","manual","val"
"24","बारम्बार बत्ती फ्लिकर हुँदा आँखा नै दुख्न थाल्यो, टिभी हेर्न सक्दिन।","electricity","manual","train"
"25","लोडसेडिङ सकियो भनेर सुनिएको हो, तर हाम्रो एरियामा त अहिलेसम्म पनि जस्तो त्यस्तै छ।","electricity","manual","train"
"26","छिमेकीको घरमा बत्ती आउँछ तर हाम्रोमा आउँदैन, कनेक्शनमा के समस्या छ थाहा भएन।","electricity","manual","train"
"27","बिजुलीको बिल अनलाइन तिर्न खोज्दा सिस्टिम डाउन् हुन्छ, लाइनमा गएर दिनभर उभिनुपर्छ।","electricity","manual","test"
"28","स्ट्रीट लाइट बिग्रिएपछि धेरै पटक फोन गर्दा पनि 'छिट्टै आउँछौं' भनेर मात्रै आश्वासन।","electricity","manual","train"
"29","बच्चाको परीक्षा आउने बेला लगातार दुई दिन बत्ती नआउँदा पढाइ पुरै अस्तव्यस्त भयो।","electricity","manual","val"
"30","बिनाकारण ट्रान्सफर्मर अफ गरेर बसेको जस्तो लाग्छ, सेवाग्राहीलाई रिस उठ्ने गरी सेवा।","electricity","manual","train"
"31","बेलुकी खाना पकाउने समयमा नै बत्ती जाने हुँदा ग्याँस र समय दुवै बर्बाद हुन्छ।","electricity","manual","train"
"32","बिजुलीको तार पोलबाट झुन्डिएर बाटोमाथि निस्केको छ, छुनासाथ ठोक्किने डर लागेको छ।","electricity","manual","train"
"33","हामीले नयाँ मिटर जडानको शुल्क तिरेको धेरै भयो तर अहिलेसम्म कसैले जडान गर्न आएको छैन।","electricity","manual","train"
"34","बत्ती झिलमिल हुँदा मोबाइल चार्जर पटकपटक जलेर नोक्सान भइरहेको छ, क्षतिपूर्ति माग्छौं।","electricity","manual","val"
"35","बारम्बार ट्रिप हुने गर्दा राति बच्चा डराएर उठ्ने गर्छन्, निद्रा र स्वास्थ्यमा असर परेको छ।","electricity","manual","train"
"36","लोडसेडिङ तालिका भनेर केही देखाइएको छैन, जुनसुकै बेला बत्ती काटिदिन्छन्, योजना बनाउनै नसकिने।","electricity","manual","train"
"37","बिजुलीको पोल घरको छत नजिकै राखिएको छ, हावाहुरीमा स्पार्क देखिँदा निकै डर लाग्छ।","electricity","manual","train"
"38","उजुरी राख्न फोन गर्दा घण्टौ बजेर बस्छ तर कसैले उठाउँदैन, समस्या कसलाई सुनाउने हो?","electricity","manual","test"
"39","रातभर स्ट्रीट लाइट बालेर दिनमा मात्र अफ हुने गरेको छ, उल्टै बिजुलीको अपव्यय भएको छ।","electricity","manual","train"
"40","बिल्लमा उल्लेखित युनिट र मिटरमा देखिएको युनिट मिल्दैन, कागज हेर्दा अचम्म लाग्ने गरी बढी लिएको छ।","electricity","manual","val"
"41","पानी तान्ने मोटर चलाउँदा पटकपटक ब्रेकर पड्किने गर्दछ, लाइनमा नै समस्या जस्तो देखिन्छ।","electricity","manual","train"
"42","वर्षामा बत्ती जानु स्वाभाविक जस्तो बनाइएको छ, अलि हावा चल्दा पनि सिधै अफ हुन्छ।","electricity","manual","train"
"43","पुरानो ट्रान्सफर्मरले लोड धान्न सकेको छैन, सानो उपकरण चलाउँदा पनि भोल्टेज झर्दै जान्छ।","electricity","manual","train"
"44","बिहान स्कुल जानु अघि नै बत्ती नआउँदा बच्चाले गृहकार्य छाप्न पनि नपाउने अवस्था छ।","electricity","manual","test"
"45","नजिकैको वडामा कहिल्यै बत्ती जाने गरेको सुनिँदैन, हाम्रो क्षेत्रमा मात्रै समस्या किन?","electricity","manual","train"
"46","मर्मतका नाममा घण्टौं लाइन काटिन्छ तर सुधार चाहिँ खासै देखिँदैन, पुरानै हालत।","electricity","manual","train"
"47","बिहान सबेरै इनभर्टर चार्ज हुन नपुग्दै फेरि बत्ती जान्छ, वैकल्पिक व्यवस्था पनि कमजोर छ।","electricity","manual","train"
"48","बत्ती गएको सूचना नदिँदा राति सिँढी अँध्यारो भएर बुढा मान्छे लड्ने जोखिम बढेको छ।","electricity","manual","val"
"49","इलेक्ट्रिसिटी अफिसमा गुनासो लेख्दा फाइल मात्र सरकाइन्छ, प्रत्यक्षमा आएको परिवर्तन देखिँदैन।","electricity","manual","train"
"50","जडान काट्ने नोटिस नदिइकन अचानक लाइन काटिदिँदा आर्थिक लेनदेन र कामकाज सब अवरुद्ध हुन्छ।","electricity","manual","train"
"51","बिजुली जाने बित्तिकै इन्टरनेट, टिभी र फ्रिज सबै बन्द हुँदा घरभरि अफ्ठ्यारो हुन्छ।","electricity","manual","train"
