text,label
light going on and off,0
frequent power cut,0
voltage very low,0
appliances damaged,0
street light not working,0
power cut whole evening,0
open wire hanging,0
transformer making noise,0
bill too high,0
meter not working,0
voltage fluctuation,0
frequent load shedding,0
no electricity at night,0
repair team not coming,0
street light broken,0
no water due to powercut,0
dehydration due to powercut,0
"Residents report street lights not working in their area, affecting daily life and safety.",0
"Residents report voltage fluctuation damaging appliances in their area, affecting daily life and safety.",0
"Residents report frequent power cuts in their area, affecting daily life and safety.",0
"Residents report transformer overheating in their area, affecting daily life and safety.",0
"Residents report exposed electric wires in their area, affecting daily life and safety.",0
"Residents report frequent power cuts in their area, affecting daily life and safety.",0
"Residents report meter malfunction causing billing confusion in their area, affecting daily life and safety.",0
"Residents report voltage fluctuation damaging appliances in their area, affecting daily life and safety.",0
"Residents report meter malfunction causing billing confusion in their area, affecting daily life and safety.",0
"Residents report transformer overheating in their area, affecting daily life and safety.",0
"Residents report meter malfunction causing billing confusion in their area, affecting daily life and safety.",0
"Residents report voltage fluctuation damaging appliances in their area, affecting daily life and safety.",0
"Residents report frequent power cuts in their area, affecting daily life and safety.",0
"Residents report delayed repair response in their area, affecting daily life and safety.",0
"Residents report exposed electric wires in their area, affecting daily life and safety.",0
"Residents report meter malfunction causing billing confusion in their area, affecting daily life and safety.",0
"Residents report voltage fluctuation damaging appliances in their area, affecting daily life and safety.",0
"Residents report street lights not working in their area, affecting daily life and safety.",0
"Residents report delayed repair response in their area, affecting daily life and safety.",0
"Residents report transformer overheating in their area, affecting daily life and safety.",0
"Residents report voltage fluctuation damaging appliances in their area, affecting daily life and safety.",0
"Residents report unstable electricity supply in their area, affecting daily life and safety.",0
"Residents report unstable electricity supply in their area, affecting daily life and safety.",0
"Residents report frequent power cuts in their area, affecting daily life and safety.",0
"Residents report meter malfunction causing billing confusion in their area, affecting daily life and safety.",0
"Residents report exposed electric wires in their area, affecting daily life and safety.",0
"Residents report transformer overheating in their area, affecting daily life and safety.",0
"Residents report voltage fluctuation damaging appliances in their area, affecting daily life and safety.",0
"Residents report meter malfunction causing billing confusion in their area, affecting daily life and safety.",0
"Residents report exposed electric wires in their area, affecting daily life and safety.",0
"Residents report meter malfunction causing billing confusion in their area, affecting daily life and safety.",0
"Residents report unstable electricity supply in their area, affecting daily life and safety.",0
"Residents report delayed repair response in their area, affecting daily life and safety.",0
"Residents report frequent power cuts in their area, affecting daily life and safety.",0
"Residents report meter malfunction causing billing confusion in their area, affecting daily life and safety.",0
"Residents report delayed repair response in their area, affecting daily life and safety.",0
"Residents report meter malfunction causing billing confusion in their area, affecting daily life and safety.",0
"Residents report street lights not working in their area, affecting daily life and safety.",0
"Residents report street lights not working in their area, affecting daily life and safety.",0
"Residents report delayed repair response in their area, affecting daily life and safety.",0
"Residents report exposed electric wires in their area, affecting daily life and safety.",0
"Residents report meter malfunction causing billing confusion in their area, affecting daily life and safety.",0
"Residents report exposed electric wires in their area, affecting daily life and safety.",0
"Residents report transformer overheating in their area, affecting daily life and safety.",0
"Residents report unstable electricity supply in their area, affecting daily life and safety.",0
"Residents report street lights not working in their area, affecting daily life and safety.",0
"Residents report delayed repair response in their area, affecting daily life and safety.",0
"Residents report street lights not working in their area, affecting daily life and safety.",0
"Residents report exposed electric wires in their area, affecting daily life and safety.",0
"Residents report street lights not working in their area, affecting daily life and safety.",0
"Residents report meter malfunction causing billing confusion in their area, affecting daily life and safety.",0
"Residents report transformer overheating in their area, affecting daily life and safety.",0
"Residents report voltage fluctuation damaging appliances in their area, affecting daily life and safety.",0
"Residents report street lights not working in their area, affecting daily life and safety.",0
"Residents report frequent power cuts in their area, affecting daily life and safety.",0
"Residents report transformer overheating in their area, affecting daily life and safety.",0
"Residents report delayed repair response in their area, affecting daily life and safety.",0
"Residents report transformer overheating in their area, affecting daily life and safety.",0
"Residents report meter malfunction causing billing confusion in their area, affecting daily life and safety.",0
"Residents report transformer overheating in their area, affecting daily life and safety.",0
"Residents report exposed electric wires in their area, affecting daily life and safety.",0
"Residents report transformer overheating in their area, affecting daily life and safety.",0
"Residents report voltage fluctuation damaging appliances in their area, affecting daily life and safety.",0
"Residents report exposed electric wires in their area, affecting daily life and safety.",0
"Residents report frequent power cuts in their area, affecting daily life and safety.",0
"Residents report meter malfunction causing billing confusion in their area, affecting daily life and safety.",0
"Residents report exposed electric wires in their area, affecting daily life and safety.",0
"Residents report transformer overheating in their area, affecting daily life and safety.",0
"Residents report exposed electric wires in their area, affecting daily life and safety.",0
"Residents report voltage fluctuation damaging appliances in their area, affecting daily life and safety.",0
"Residents report frequent power cuts in their area, affecting daily life and safety.",0
"Residents report frequent power cuts in their area, affecting daily life and safety.",0
"Residents report delayed repair response in their area, affecting daily life and safety.",0
"Residents report delayed repair response in their area, affecting daily life and safety.",0
"Residents report frequent power cuts in their area, affecting daily life and safety.",0
"Residents report exposed electric wires in their area, affecting daily life and safety.",0
"Residents report unstable electricity supply in their area, affecting daily life and safety.",0
"Residents report meter malfunction causing billing confusion in their area, affecting daily life and safety.",0
"Residents report meter malfunction causing billing confusion in their area, affecting daily life and safety.",0
"Residents report transformer overheating in their area, affecting daily life and safety.",0
"Residents report voltage fluctuation damaging appliances in their area, affecting daily life and safety.",0
"Residents report frequent power cuts in their area, affecting daily life and safety.",0
"Residents report street lights not working in their area, affecting daily life and safety.",0
"Residents report transformer overheating in their area, affecting daily life and safety.",0
"Residents report exposed electric wires in their area, affecting daily life and safety.",0
"Residents report delayed repair response in their area, affecting daily life and safety.",0
"Residents report transformer overheating in their area, affecting daily life and safety.",0
"Residents report voltage fluctuation damaging appliances in their area, affecting daily life and safety.",0
"Residents report delayed repair response in their area, affecting daily life and safety.",0
"Residents report exposed electric wires in their area, affecting daily life and safety.",0
"Residents report frequent power cuts in their area, affecting daily life and safety.",0
"Residents report transformer overheating in their area, affecting daily life and safety.",0
"Residents report unstable electricity supply in their area, affecting daily life and safety.",0
"Residents report meter malfunction causing billing confusion in their area, affecting daily life and safety.",0
"Residents report delayed repair response in their area, affecting daily life and safety.",0
"Residents report exposed electric wires in their area, affecting daily life and safety.",0
"Residents report frequent power cuts in their area, affecting daily life and safety.",0
"Residents report exposed electric wires in their area, affecting daily life and safety.",0
"Residents report voltage fluctuation damaging appliances in their area, affecting daily life and safety.",0
"Residents report unstable electricity supply in their area, affecting daily life and safety.",0
"Residents report unstable electricity supply in their area, affecting daily life and safety.",0
"Residents report street lights not working in their area, affecting daily life and safety.",0
"Residents report voltage fluctuation damaging appliances in their area, affecting daily life and safety.",0
"Residents report street lights not working in their area, affecting daily life and safety.",0
"Residents report meter malfunction causing billing confusion in their area, affecting daily life and safety.",0
"Residents report unstable electricity supply in their area, affecting daily life and safety.",0
"Residents report delayed repair response in their area, affecting daily life and safety.",0
"Residents report voltage fluctuation damaging appliances in their area, affecting daily life and safety.",0
"Residents report transformer overheating in their area, affecting daily life and safety.",0
"Residents report delayed repair response in their area, affecting daily life and safety.",0
"Residents report meter malfunction causing billing confusion in their area, affecting daily life and safety.",0
"Residents report frequent power cuts in their area, affecting daily life and safety.",0
"Residents report meter malfunction causing billing confusion in their area, affecting daily life and safety.",0
"Residents report street lights not working in their area, affecting daily life and safety.",0
"Residents report meter malfunction causing billing confusion in their area, affecting daily life and safety.",0
"Residents report transformer overheating in their area, affecting daily life and safety.",0
"Residents report delayed repair response in their area, affecting daily life and safety.",0
"Residents report frequent power cuts in their area, affecting daily life and safety.",0
"Residents report unstable electricity supply in their area, affecting daily life and safety.",0
"Residents report meter malfunction causing billing confusion in their area, affecting daily life and safety.",0
"Residents report meter malfunction causing billing confusion in their area, affecting daily life and safety.",0
"Residents report transformer overheating in their area, affecting daily life and safety.",0
"Residents report unstable electricity supply in their area, affecting daily life and safety.",0
"Residents report unstable electricity supply in their area, affecting daily life and safety.",0
"Residents report exposed electric wires in their area, affecting daily life and safety.",0
"Residents report meter malfunction causing billing confusion in their area, affecting daily life and safety.",0
"Residents report voltage fluctuation damaging appliances in their area, affecting daily life and safety.",0
"Residents report meter malfunction causing billing confusion in their area, affecting daily life and safety.",0
"Residents report delayed repair response in their area, affecting daily life and safety.",0
"Residents report voltage fluctuation damaging appliances in their area, affecting daily life and safety.",0
"Residents report meter malfunction causing billing confusion in their area, affecting daily life and safety.",0
"Residents report meter malfunction causing billing confusion in their area, affecting daily life and safety.",0
"Residents report street lights not working in their area, affecting daily life and safety.",0
"Residents report frequent power cuts in their area, affecting daily life and safety.",0
"Residents report delayed repair response in their area, affecting daily life and safety.",0
"Residents report voltage fluctuation damaging appliances in their area, affecting daily life and safety.",0
"Residents report voltage fluctuation damaging appliances in their area, affecting daily life and safety.",0
"Residents report meter malfunction causing billing confusion in their area, affecting daily life and safety.",0
"Residents report meter malfunction causing billing confusion in their area, affecting daily life and safety.",0
"Residents report street lights not working in their area, affecting daily life and safety.",0
"Residents report voltage fluctuation damaging appliances in their area, affecting daily life and safety.",0
"Residents report meter malfunction causing billing confusion in their area, affecting daily life and safety.",0
"Residents report frequent power cuts in their area, affecting daily life and safety.",0
"Residents report delayed repair response in their area, affecting daily life and safety.",0
"Residents report transformer overheating in their area, affecting daily life and safety.",0
"Residents report unstable electricity supply in their area, affecting daily life and safety.",0
"Residents report meter malfunction causing billing confusion in their area, affecting daily life and safety.",0
"Residents report voltage fluctuation damaging appliances in their area, affecting daily life and safety.",0
"Residents report exposed electric wires in their area, affecting daily life and safety.",0
"Residents report exposed electric wires in their area, affecting daily life and safety.",0
"Residents report unstable electricity supply in their area, affecting daily life and safety.",0
"Residents report exposed electric wires in their area, affecting daily life and safety.",0
"Residents report meter malfunction causing billing confusion in their area, affecting daily life and safety.",0
"Residents report unstable electricity supply in their area, affecting daily life and safety.",0
"Residents report exposed electric wires in their area, affecting daily life and safety.",0
"Residents report unstable electricity supply in their area, affecting daily life and safety.",0
"Residents report meter malfunction causing billing confusion in their area, affecting daily life and safety.",0
"Residents report delayed repair response in their area, affecting daily life and safety.",0
"Residents report voltage fluctuation damaging appliances in their area, affecting daily life and safety.",0
"Residents report unstable electricity supply in their area, affecting daily life and safety.",0
"Residents report meter malfunction causing billing confusion in their area, affecting daily life and safety.",0
"Residents report frequent power cuts in their area, affecting daily life and safety.",0
"Residents report transformer overheating in their area, affecting daily life and safety.",0
"Residents report transformer overheating in their area, affecting daily life and safety.",0
"Residents report transformer overheating in their area, affecting daily life and safety.",0
"Residents report delayed repair response in their area, affecting daily life and safety.",0
"Residents report exposed electric wires in their area, affecting daily life and safety.",0
"Residents report frequent power cuts in their area, affecting daily life and safety.",0
"Residents report delayed repair response in their area, affecting daily life and safety.",0
"Residents report meter malfunction causing billing confusion in their area, affecting daily life and safety.",0
"Residents report transformer overheating in their area, affecting daily life and safety.",0
"Residents report exposed electric wires in their area, affecting daily life and safety.",0
"Residents report delayed repair response in their area, affecting daily life and safety.",0
"Residents report meter malfunction causing billing confusion in their area, affecting daily life and safety.",0
"Residents report voltage fluctuation damaging appliances in their area, affecting daily life and safety.",0
"Residents report voltage fluctuation damaging appliances in their area, affecting daily life and safety.",0
"Residents report meter malfunction causing billing confusion in their area, affecting daily life and safety.",0
"Residents report delayed repair response in their area, affecting daily life and safety.",0
"Residents report transformer overheating in their area, affecting daily life and safety.",0
"Residents report street lights not working in their area, affecting daily life and safety.",0
"Residents report street lights not working in their area, affecting daily life and safety.",0
"Residents report meter malfunction causing billing confusion in their area, affecting daily life and safety.",0
"Residents report frequent power cuts in their area, affecting daily life and safety.",0
"Residents report voltage fluctuation damaging appliances in their area, affecting daily life and safety.",0
